,Наименование работ,Дни мес.,01.11.2015,02.11.2015,03.11.2015,04.11.2015,05.11.2015,06.11.2015,07.11.2015,08.11.2015,09.11.2015,10.11.2015,11.11.2015,12.11.2015,13.11.2015,14.11.2015,15.11.2015,16.11.2015,17.11.2015,18.11.2015,19.11.2015,20.11.2015,21.11.2015,22.11.2015,23.11.2015,24.11.2015,25.11.2015,26.11.2015,27.11.2015,28.11.2015,29.11.2015,30.11.2015
4.5.2.3,               Сборка и установка крана шарового Ду 100 мм_act,план,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,               Сборка и установка крана шарового Ду 100 мм_act,факт,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
4.5.2.4,               Установка КШ Ду50мм_act,план,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,               Установка КШ Ду50мм_act,факт,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
4.5.2.5,               Укладка трубы 114мм_act,план,,,,,,,,,,,,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,
,               Укладка трубы 114мм_act,факт,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
4.5.2.6,"               Изоляция стыков с применением изоляционного комплекта "" ТИАЛ-М ""_act",план,,,,,,,,,,,,,,,,,,,,,,30,30,26,,,,,,
,"               Изоляция стыков с применением изоляционного комплекта "" ТИАЛ-М ""_act",факт,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,
4.5.2.7,               Монтаж огневого предохранителя Ду 100мм_act,план,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,               Монтаж огневого предохранителя Ду 100мм_act,факт,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
4.5.2.8,               Монтаж опор_act,план,,,,,,,,,,,,,0.003,0.003,0.002,0.002,,,,,,,,,,,,,,
,               Монтаж опор_act,факт,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,
4.5.2.9,               Укладка в траншею изолированных трубопроводов_act,план,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.4,,,,
,               Укладка в траншею изолированных трубопроводов_act,факт,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
4.5.2.10,               Засыпка траншей и котлованов с перемещением грунта_act,план,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,110,
,               Засыпка траншей и котлованов с перемещением грунта_act,факт,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
4.5.2.11,               Антикоррозионная изоляция надземных трубопроводов_act,план,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
,               Антикоррозионная изоляция надземных трубопроводов_act,факт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4.5.2.12,               Антикоррозионная изоляция надземного трубопровода для продувочной свечи Д 114мм_act,план,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,               Антикоррозионная изоляция надземного трубопровода для продувочной свечи Д 114мм_act,факт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
4.5.3,"            Строительные работы УЗА №5, ПК 316+25,00_act",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5.3.1,               Изготовление ограждения узла запорной арматуры_act,план,,,,,,,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,
,               Изготовление ограждения узла запорной арматуры_act,факт,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
4.5.3.2,"               Погружение в грунт сваи из трубы Д 108х6 мм методом вдавливания на глубину 1,4 м_act",план,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,
,"               Погружение в грунт сваи из трубы Д 108х6 мм методом вдавливания на глубину 1,4 м_act",факт,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
4.5.3.3,               Монтаж ограждения узла запорной арматуры_act,план,,,,,,,,,,,0.14,0.14,0.14,,,,,,,,,,,,,,,,,
,               Монтаж ограждения узла запорной арматуры_act,факт,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
4.5.3.4,               Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-017_act,план,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,
,               Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-017_act,факт,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
4.5.3.5,               Окраска металлических огрунтованных поверхностей эмалью ПФ-115_act,план,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,
,               Окраска металлических огрунтованных поверхностей эмалью ПФ-115_act,факт,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
4.5.4,"            Строительные работы продувочной свечи УЗА №5, ПК316+25,00_act",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5.4.1,               Установка сборных опорных подушек ОП2_act,план,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,
,               Установка сборных опорных подушек ОП2_act,факт,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
4.5.4.2,"               Бурение скважин Ду 450 мм глубиной 1,3 м, группа грунтов 1_act",план,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
,"               Бурение скважин Ду 450 мм глубиной 1,3 м, группа грунтов 1_act",факт,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
4.5.4.3,               Погружение свай из металлических труб Д 180х6 мм методом забивки в основание пробуренных скважин_act,план,,,,,,,,0.08,0.07,,,,,,,,,,,,,,,,,,,,,
,               Погружение свай из металлических труб Д 180х6 мм методом забивки в основание пробуренных скважин_act,факт,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4.5.4.4,               Монтаж стойки из трубы Д=180х6мм_act,план,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,
,               Монтаж стойки из трубы Д=180х6мм_act,факт,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
4.5.4.5,               Окраска металлоконструкций выше уровня земли эмалью ПФ-115_act,план,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,
,               Окраска металлоконструкций выше уровня земли эмалью ПФ-115_act,факт,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
4.6,Узел запорной арматуры №6  ПК 321+35_act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6.1,"             Инженерная подготовка Узел запорной арматуры №6 ПК321+35,00 _act",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6.1.1,"                Устройство лежневого настила шириной 3,5 м_act",план,78.25,78.25,78.25,78.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                Устройство лежневого настила шириной 3,5 м_act",факт,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6.1.2,                Устройство насыпи при доставке грунта автотранспортными средствами с перемещением_act,план,,,,494.75,494.75,494.75,494.75,,,,,,,,,,,,,,,,,,,,,,,
,                Устройство насыпи при доставке грунта автотранспортными средствами с перемещением_act,факт,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
4.6.1.3,                Устройство насыпи при доставке грунта автотранспортными средствами с перемещением_act,план,,,,,154,154,154,,,,,,,,,,,,,,,,,,,,,,,
,                Устройство насыпи при доставке грунта автотранспортными средствами с перемещением_act,факт,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
4.6.1.4,                Планировка откосов и верха насыпи площадки механизированным способом_act,план,,,,,847,847,847,,,,,,,,,,,,,,,,,,,,,,,
,                Планировка откосов и верха насыпи площадки механизированным способом_act,факт,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
4.6.2,"             Монтаж технологических трубопроводов и оборудования №6 ПК321+35,00 _act",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6.2.1,                Разработка грунта в отвал экскаваторами_act,план,,,,,,,,,,,115,115,115,115,,,,,,,,,,,,,,,,
,                Разработка грунта в отвал экскаваторами_act,факт,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
4.6.2.2,                Сборка и установка кранового узла с двусторонней продувкой на трубопроводе: Д 350 мм_act,план,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.4,,,,,,,,
,                Сборка и установка кранового узла с двусторонней продувкой на трубопроводе: Д 350 мм_act,факт,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
4.6.2.3,                Сборка и установка крана шарового подземного Ду 100 мм_act,план,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,
